2013/2/4,214,214,207,209,1361000,209
2013/2/5,208,209,204,206,605000,206
2013/2/6,207,208,199,202,1074000,202
2013/2/7,202,203,200,203,281000,203
2013/2/8,204,209,200,202,740000,202
2013/2/12,201,203,197,200,664000,200
2013/2/13,201,201,194,198,545000,198
2013/2/14,199,207,196,207,910000,207
2013/2/15,209,214,191,204,1959000,204
2013/2/18,203,208,199,205,567000,205
2013/2/19,206,219,203,219,2239000,219
2013/2/20,219,226,214,215,2846000,215
2013/2/21,216,222,214,217,1499000,217
2013/2/22,216,234,216,233,4219000,233
2013/2/25,242,251,235,235,4792000,235
2013/2/26,222,247,222,247,2693000,247
2013/2/27,269,327,264,288,15553000,288
2013/2/28,315,365,304,364,14469000,364
2013/3/1,340,361,335,343,9424000,343
2013/3/4,350,395,335,387,10618000,387
2013/3/5,394,467,388,455,20041000,455
2013/3/6,479,535,474,535,16484000,535
2013/3/7,540,550,435,435,10543000,435
2013/3/8,427,475,399,415,10511000,415
2013/3/11,420,445,382,435,5650000,435
2013/3/12,405,427,394,399,2819000,399
2013/3/13,390,413,382,382,1916000,382
2013/3/14,390,409,389,408,1840000,408
2013/3/15,404,404,379,389,1800000,389
2013/3/18,373,388,347,355,2258000,355
2013/3/19,368,373,353,362,1018000,362
2013/3/21,365,396,358,390,2409000,390
2013/3/22,375,381,355,361,1327000,361
2013/3/25,365,367,346,355,754000,355
2013/3/26,346,372,345,363,926000,363
2013/3/27,370,392,369,392,1769000,392
2013/3/28,394,399,375,385,1222000,385
2013/3/29,385,386,366,386,827000,386
2013/4/1,405,418,351,355,3665000,355
2013/4/2,344,370,325,363,1271000,363
2013/4/3,378,382,367,378,585000,378
2013/4/4,367,375,363,370,675000,370
2013/4/5,366,373,360,362,892000,362
2013/4/8,370,373,364,370,600000,370
2013/4/9,371,371,364,366,709000,366
2013/4/10,369,445,366,422,4945000,422
2013/4/11,434,437,373,375,3964000,375
2013/4/12,330,356,319,329,6394000,329
2013/4/15,312,318,301,303,3347000,303
2013/4/16,303,314,288,311,2478000,311
2013/4/17,308,336,306,326,3305000,326
2013/4/18,327,343,319,321,3690000,321
2013/4/19,321,329,316,324,1230000,324
2013/4/22,325,337,320,336,1509000,336
2013/4/23,335,340,331,338,894000,338
2013/4/24,341,344,333,336,1218000,336
2013/4/25,341,342,328,334,1160000,334
2013/4/26,329,333,317,323,1269000,323
2013/4/30,321,328,317,327,569000,327
2013/5/1,323,335,319,321,792000,321
2013/5/2,319,327,314,320,641000,320
2013/5/7,325,353,324,350,2536000,350
2013/5/8,354,430,333,415,12265000,415
2013/5/9,445,445,369,369,6367000,369
2013/5/10,380,387,351,361,1699000,361
2013/5/13,371,374,354,364,1188000,364
2013/5/14,354,400,350,383,3332000,383
2013/5/15,387,387,350,351,2059000,351
2013/5/16,351,358,320,355,1615000,355
2013/5/17,356,373,345,362,939000,362
2013/5/20,370,377,359,362,1255000,362
2013/5/21,355,359,344,345,948000,345
2013/5/22,340,352,335,340,668000,340
2013/5/23,340,350,312,312,1533000,312
2013/5/24,315,347,306,332,1504000,332
2013/5/27,325,329,315,325,455000,325
2013/5/28,320,334,318,330,459000,330
2013/5/31,328,332,327,332,261000,332
2013/6/3,323,341,321,326,440000,326
2013/6/4,330,330,316,324,495000,324
2013/6/5,326,334,320,324,527000,324
2013/6/6,320,321,287,304,1127000,304
2013/6/7,285,298,240,257,1784000,257
2013/6/10,286,293,277,292,746000,292
2013/6/11,285,300,281,286,866000,286
2013/6/12,275,299,273,299,449000,299
2013/6/13,296,350,286,310,1923000,310
2013/6/14,322,323,295,302,869000,302
2013/6/17,300,304,298,301,210000,301
2013/6/18,304,308,300,302,203000,302
2013/6/18,304,308,300,302,203000,302
2013/6/19,307,308,300,301,304000,301
2013/6/20,312,347,311,347,3093000,347
2013/6/21,325,337,309,323,1628000,323
2013/6/24,325,328,301,304,834000,304
2013/6/25,302,309,295,301,613000,301
2013/6/26,304,305,270,277,957000,277
2013/6/27,283,289,260,286,736000,286
2013/6/28,290,306,287,301,602000,301
2013/7/1,308,321,306,320,784000,320
2013/7/2,326,327,315,323,522000,323
2013/7/3,328,343,321,336,827000,336
2013/7/4,330,332,326,328,255000,328
2013/7/5,335,339,332,339,372000,339
2013/7/8,345,347,337,345,630000,345
2013/7/9,345,349,338,346,446000,346
2013/7/10,343,346,327,340,609000,340
2013/7/11,333,339,326,329,697000,329
2013/7/12,349,367,310,315,5196000,315
