2013/4/1,191,191,177,178,824000,178
2013/4/2,171,181,162,176,1175000,176
2013/4/3,178,187,178,186,742000,186
2013/4/4,182,189,180,188,507000,188
2013/4/5,195,196,190,192,981000,192
2013/4/8,193,220,191,208,8043000,208
2013/4/9,210,212,201,203,2007000,203
2013/4/10,206,217,206,209,2390000,209
2013/4/11,210,211,204,205,809000,205
2013/4/12,204,206,200,203,667000,203
2013/4/15,203,204,200,201,467000,201
2013/4/16,196,200,194,197,580000,197
2013/4/17,200,204,200,202,559000,202
2013/4/18,200,207,199,200,700000,200
2013/4/19,202,205,198,203,576000,203
2013/4/22,204,210,204,206,1075000,206
2013/4/23,207,211,205,208,740000,208
2013/4/24,211,211,206,207,399000,207
2013/4/25,215,220,208,212,2243000,212
2013/4/26,212,212,205,206,589000,206
2013/4/30,202,208,202,206,319000,206
2013/5/1,206,208,204,204,347000,204
2013/5/2,207,214,205,213,1179000,213
2013/5/7,216,217,213,213,705000,213
2013/5/8,215,215,210,212,473000,212
2013/5/9,212,213,208,208,483000,208
2013/5/10,211,211,206,207,419000,207
2013/5/13,207,207,204,205,460000,205
2013/5/14,207,208,205,208,407000,208
2013/5/15,211,211,200,201,1032000,201
2013/5/16,201,202,188,197,1069000,197
2013/5/17,197,206,195,203,430000,203
2013/5/20,206,206,203,203,221000,203
2013/5/21,203,203,199,200,247000,200
2013/5/22,203,203,197,198,382000,198
2013/5/23,196,198,186,187,902000,187
2013/5/24,185,193,182,189,554000,189
2013/5/27,184,184,180,180,387000,180
2013/5/28,180,184,176,179,384000,179
2013/5/31,179,182,175,177,227000,177
2013/6/3,176,176,170,170,525000,170
2013/6/4,169,175,167,175,523000,175
2013/6/5,176,178,167,168,298000,168
2013/6/6,168,169,158,159,620000,159
2013/6/7,151,159,147,149,674000,149
2013/6/10,154,166,154,165,301000,165
2013/6/11,165,168,161,162,220000,162
2013/6/12,159,165,157,163,178000,163
2013/6/13,159,161,155,155,298000,155
2013/6/14,158,159,155,158,358000,158
2013/6/17,155,162,155,158,438000,158
2013/6/18,160,163,159,161,175000,161
2013/6/18,160,163,159,161,175000,161
2013/6/19,165,165,161,163,147000,163
2013/6/20,163,163,162,162,52000,162
2013/6/21,157,161,157,159,180000,159
2013/6/24,163,163,159,159,134000,159
2013/6/25,159,160,155,158,208000,158
2013/6/26,158,162,152,152,393000,152
2013/6/27,155,158,151,158,221000,158
2013/6/28,162,163,159,162,337000,162
2013/7/1,163,167,162,167,153000,167
2013/7/2,168,172,168,171,227000,171
2013/7/3,173,197,171,180,2709000,180
2013/7/4,185,193,182,191,1972000,191
2013/7/5,191,196,188,192,1027000,192
2013/7/8,198,199,193,197,1182000,197
2013/7/9,198,200,193,196,834000,196
2013/7/10,196,198,193,196,485000,196
2013/7/11,194,197,194,195,489000,195
2013/7/12,195,195,188,191,810000,191
2013/7/16,188,190,184,184,477000,184
2013/7/17,181,183,180,183,318000,183
2013/7/18,181,183,181,182,241000,182
2013/7/19,183,185,181,183,273000,183
2013/7/22,183,185,182,184,159000,184
2013/7/23,182,187,182,186,385000,186
2013/7/24,188,189,181,184,459000,184
2013/7/25,183,184,179,179,389000,179
2013/7/26,178,178,175,175,238000,175
2013/7/29,170,172,160,163,879000,163
2013/7/30,163,171,163,171,299000,171
2013/7/31,172,172,168,169,160000,169
2013/8/1,171,172,168,172,149000,172
2013/8/2,175,178,174,176,255000,176
2013/8/5,175,175,174,175,87000,175
2013/8/6,176,176,173,175,111000,175
2013/8/7,174,175,173,174,72000,174
2013/8/8,173,175,172,173,151000,173
2013/8/9,174,176,173,176,182000,176
2013/8/12,168,170,166,167,193000,167
2013/8/13,167,169,166,169,104000,169
2013/8/14,169,170,167,170,96000,170
2013/8/15,170,171,168,170,55000,170
2013/8/16,168,171,168,169,97000,169
2013/8/19,170,172,169,171,63000,171
2013/8/20,170,175,170,170,271000,170
2013/8/21,172,174,169,169,218000,169
2013/8/22,169,172,169,171,128000,171
2013/8/23,171,175,170,171,233000,171
2013/8/26,172,173,171,172,84000,172
2013/8/27,172,174,171,172,140000,172
